,Title,URL,Year,Rating,Actors,Director
128,Bacheha-Ye aseman,http://www.imdb.com/title/tt0118849/,1997,8.2," Mohammad Amir Naji, Amir Farrokh Hashemian",Majid Majidi 
129,The Great Escape,http://www.imdb.com/title/tt0057115/,1963,8.2," Steve McQueen, James Garner",John Sturges 
130,Pan's Labyrinth,http://www.imdb.com/title/tt0457430/,2006,8.2," Ivana Baquero, Ariadna Gil",Guillermo del Toro 
131,Chinatown,http://www.imdb.com/title/tt0071315/,1974,8.2," Jack Nicholson, Faye Dunaway",Roman Polanski 
132,Tonari no Totoro,http://www.imdb.com/title/tt0096283/,1988,8.2," Hitoshi Takagi, Noriko Hidaka",Hayao Miyazaki 
133,Hauru no ugoku shiro,http://www.imdb.com/title/tt0347149/,2004,8.2," Chieko Baishô, Takuya Kimura",Hayao Miyazaki 
134,The Third Man,http://www.imdb.com/title/tt0041959/,1949,8.2," Orson Welles, Joseph Cotten",Carol Reed 
135,Ran,http://www.imdb.com/title/tt0089881/,1985,8.2," Tatsuya Nakadai, Akira Terao",Akira Kurosawa 
136,Babam ve Oglum,http://www.imdb.com/title/tt0476735/,2005,8.2," Çetin Tekindor, Fikret Kuskan",Çagan Irmak 
137,Judgment at Nuremberg,http://www.imdb.com/title/tt0055031/,1961,8.2," Spencer Tracy, Burt Lancaster",Stanley Kramer 
138,El secreto de sus ojos,http://www.imdb.com/title/tt1305806/,2009,8.2," Ricardo Darín, Soledad Villamil",Juan José Campanella 
139,The Gold Rush,http://www.imdb.com/title/tt0015864/,1925,8.2," Charles Chaplin, Mack Swain",Charles Chaplin 
140,A Beautiful Mind,http://www.imdb.com/title/tt0268978/,2001,8.2," Russell Crowe, Ed Harris",Ron Howard 
141,The Bridge on the River Kwai,http://www.imdb.com/title/tt0050212/,1957,8.2," William Holden, Alec Guinness",David Lean 
142,Casino,http://www.imdb.com/title/tt0112641/,1995,8.2," Robert De Niro, Sharon Stone",Martin Scorsese 
143,"Lock, Stock and Two Smoking Barrels",http://www.imdb.com/title/tt0120735/,1998,8.2," Jason Flemyng, Dexter Fletcher",Guy Ritchie 
144,Det sjunde inseglet,http://www.imdb.com/title/tt0050976/,1957,8.1," Max von Sydow, Gunnar Björnstrand",Ingmar Bergman 
145,"Three Billboards Outside Ebbing, Missouri",http://www.imdb.com/title/tt5027774/,2017,8.1," Frances McDormand, Woody Harrelson",Martin McDonagh 
146,On the Waterfront,http://www.imdb.com/title/tt0047296/,1954,8.1," Marlon Brando, Karl Malden",Elia Kazan 
147,The Wolf of Wall Street,http://www.imdb.com/title/tt0993846/,2013,8.1," Leonardo DiCaprio, Jonah Hill",Martin Scorsese 
148,The Elephant Man,http://www.imdb.com/title/tt0080678/,1980,8.1," Anthony Hopkins, John Hurt",David Lynch 
149,Inside Out,http://www.imdb.com/title/tt2096673/,2015,8.1," Amy Poehler, Bill Hader",Pete Docter 
150,V for Vendetta,http://www.imdb.com/title/tt0434409/,2005,8.1," Hugo Weaving, Natalie Portman",James McTeigue 
151,Mr. Smith Goes to Washington,http://www.imdb.com/title/tt0031679/,1939,8.1," James Stewart, Jean Arthur",Frank Capra 
152,Room,http://www.imdb.com/title/tt3170832/,2015,8.1," Brie Larson, Jacob Tremblay",Lenny Abrahamson 
153,Warrior,http://www.imdb.com/title/tt1291584/,2011,8.1," Tom Hardy, Nick Nolte",Gavin O'Connor 
154,Blade Runner,http://www.imdb.com/title/tt0083658/,1982,8.1," Harrison Ford, Rutger Hauer",Ridley Scott 
155,Dial M for Murder,http://www.imdb.com/title/tt0046912/,1954,8.1," Ray Milland, Grace Kelly",Alfred Hitchcock 
156,There Will Be Blood,http://www.imdb.com/title/tt0469494/,2007,8.1," Daniel Day-Lewis, Paul Dano",Paul Thomas Anderson 
157,No Country for Old Men,http://www.imdb.com/title/tt0477348/,2007,8.1," Tommy Lee Jones, Javier Bardem",Ethan Coen 
158,Smultronstället,http://www.imdb.com/title/tt0050986/,1957,8.1," Victor Sjöström, Bibi Andersson",Ingmar Bergman 
159,The Sixth Sense,http://www.imdb.com/title/tt0167404/,1999,8.1," Bruce Willis, Haley Joel Osment",M. Night Shyamalan 
160,The General,http://www.imdb.com/title/tt0017925/,1926,8.1," Buster Keaton, Marion Mack",Clyde Bruckman 
161,Trainspotting,http://www.imdb.com/title/tt0117951/,1996,8.1," Ewan McGregor, Ewen Bremner",Danny Boyle 
162,Andhadhun,http://www.imdb.com/title/tt8108198/,2018,8.1," Ayushmann Khurrana, Tabu",Sriram Raghavan 
163,Gone with the Wind,http://www.imdb.com/title/tt0031381/,1939,8.1," Clark Gable, Vivien Leigh",Victor Fleming 
164,The Thing,http://www.imdb.com/title/tt0084787/,1982,8.1," Kurt Russell, Wilford Brimley",John Carpenter 
165,Fargo,http://www.imdb.com/title/tt0116282/,1996,8.1," William H. Macy, Frances McDormand",Joel Coen 
166,Idi i smotri,http://www.imdb.com/title/tt0091251/,1985,8.1," Aleksey Kravchenko, Olga Mironova",Elem Klimov 
167,Finding Nemo,http://www.imdb.com/title/tt0266543/,2003,8.1," Albert Brooks, Ellen DeGeneres",Andrew Stanton 
168,Gran Torino,http://www.imdb.com/title/tt1205489/,2008,8.1," Clint Eastwood, Bee Vang",Clint Eastwood 
169,The Deer Hunter,http://www.imdb.com/title/tt0077416/,1978,8.1," Robert De Niro, Christopher Walken",Michael Cimino 
170,Shutter Island,http://www.imdb.com/title/tt1130884/,2010,8.1," Leonardo DiCaprio, Emily Mortimer",Martin Scorsese 
171,The Big Lebowski,http://www.imdb.com/title/tt0118715/,1998,8.1," Jeff Bridges, John Goodman",Joel Coen 
172,Kill Bill: Vol. 1,http://www.imdb.com/title/tt0266697/,2003,8.1," Uma Thurman, David Carradine",Quentin Tarantino 
173,Sherlock Jr.,http://www.imdb.com/title/tt0015324/,1924,8.1," Buster Keaton, Kathryn McGuire",Buster Keaton 
174,Cool Hand Luke,http://www.imdb.com/title/tt0061512/,1967,8.1," Paul Newman, George Kennedy",Stuart Rosenberg 
175,Tôkyô monogatari,http://www.imdb.com/title/tt0046438/,1953,8.1," Chishû Ryû, Chieko Higashiyama",Yasujirô Ozu 
176,Mary and Max,http://www.imdb.com/title/tt0978762/,2009,8.1," Toni Collette, Philip Seymour Hoffman",Adam Elliot 
177,Rebecca,http://www.imdb.com/title/tt0032976/,1940,8.1," Laurence Olivier, Joan Fontaine",Alfred Hitchcock 
178,Hacksaw Ridge,http://www.imdb.com/title/tt2119532/,2016,8.1," Andrew Garfield, Sam Worthington",Mel Gibson 
179,Jurassic Park,http://www.imdb.com/title/tt0107290/,1993,8.1," Sam Neill, Laura Dern",Steven Spielberg 
180,How to Train Your Dragon,http://www.imdb.com/title/tt0892769/,2010,8.1," Jay Baruchel, Gerard Butler",Dean DeBlois 
181,Gone Girl,http://www.imdb.com/title/tt2267998/,2014,8.1," Ben Affleck, Rosamund Pike",David Fincher 
182,Relatos salvajes,http://www.imdb.com/title/tt3011894/,2014,8.1," Darío Grandinetti, María Marull",Damián Szifron 
183,The Truman Show,http://www.imdb.com/title/tt0120382/,1998,8.1," Jim Carrey, Ed Harris",Peter Weir 
184,Stalker,http://www.imdb.com/title/tt0079944/,1979,8.1," Alisa Freyndlikh, Aleksandr Kaydanovskiy",Andrei Tarkovsky 
185,Sunrise: A Song of Two Humans,http://www.imdb.com/title/tt0018455/,1927,8.1," George O'Brien, Janet Gaynor",F.W. Murnau 
186,The Grand Budapest Hotel,http://www.imdb.com/title/tt2278388/,2014,8.1," Ralph Fiennes, F. Murray Abraham",Wes Anderson 
187,In the Name of the Father,http://www.imdb.com/title/tt0107207/,1993,8.1," Daniel Day-Lewis, Pete Postlethwaite",Jim Sheridan 
188,Stand by Me,http://www.imdb.com/title/tt0092005/,1986,8.1," Wil Wheaton, River Phoenix",Rob Reiner 
189,It Happened One Night,http://www.imdb.com/title/tt0025316/,1934,8.1," Clark Gable, Claudette Colbert",Frank Capra 
190,Into the Wild,http://www.imdb.com/title/tt0758758/,2007,8.1," Emile Hirsch, Vince Vaughn",Sean Penn 
191,Platoon,http://www.imdb.com/title/tt0091763/,1986,8.1," Charlie Sheen, Tom Berenger",Oliver Stone 
192,Salinui chueok,http://www.imdb.com/title/tt0353969/,2003,8.1," Kang-ho Song, Sang-kyung Kim",Joon-ho Bong 
193,Network,http://www.imdb.com/title/tt0074958/,1976,8.1," Faye Dunaway, William Holden",Sidney Lumet 
194,Life of Brian,http://www.imdb.com/title/tt0079470/,1979,8.1," Graham Chapman, John Cleese",Terry Jones 
195,Persona,http://www.imdb.com/title/tt0060827/,1966,8.1," Bibi Andersson, Liv Ullmann",Ingmar Bergman 
196,Ben-Hur,http://www.imdb.com/title/tt0052618/,1959,8.1," Charlton Heston, Jack Hawkins",William Wyler 
197,12 Years a Slave,http://www.imdb.com/title/tt2024544/,2013,8.1," Chiwetel Ejiofor, Michael Kenneth Williams",Steve McQueen 
198,Million Dollar Baby,http://www.imdb.com/title/tt0405159/,2004,8.1," Hilary Swank, Clint Eastwood",Clint Eastwood 
199,Hotel Rwanda,http://www.imdb.com/title/tt0395169/,2004,8.1," Don Cheadle, Sophie Okonedo",Terry George 
200,Before Sunrise,http://www.imdb.com/title/tt0112471/,1995,8.1," Ethan Hawke, Julie Delpy",Richard Linklater 
201,Prisoners,http://www.imdb.com/title/tt1392214/,2013,8.1," Hugh Jackman, Jake Gyllenhaal",Denis Villeneuve 
202,Mad Max: Fury Road,http://www.imdb.com/title/tt1392190/,2015,8.1," Tom Hardy, Charlize Theron",George Miller 
203,Eskiya,http://www.imdb.com/title/tt0116231/,1996,8.1," Sener Sen, Ugur Yücel",Yavuz Turgul 
204,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",http://www.imdb.com/title/tt0169858/,1997,8.1," Megumi Ogata, Megumi Hayashibara",Hideaki Anno 
205,Hachi: A Dog's Tale,http://www.imdb.com/title/tt1028532/,2009,8.1," Richard Gere, Joan Allen",Lasse Hallström 
206,Le salaire de la peur,http://www.imdb.com/title/tt0046268/,1953,8.1," Yves Montand, Charles Vanel",Henri-Georges Clouzot 
